"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 18 16:31:59 GMT-03:00 2022","Fri Nov 18 16:31:59 GMT-03:00 2022","407","","Pessoa","","","","PUT - Atualizar Pessoa",""
"passed","Fri Nov 18 16:32:04 GMT-03:00 2022","Fri Nov 18 16:32:04 GMT-03:00 2022","135","","Pessoa","","","","GET - Listar Pessoas",""
"passed","Fri Nov 18 16:31:49 GMT-03:00 2022","Fri Nov 18 16:31:49 GMT-03:00 2022","311","","Endereco","","","","DELETE - Deletar Endereco",""
"broken","Fri Nov 18 16:33:05 GMT-03:00 2022","Fri Nov 18 16:33:05 GMT-03:00 2022","0","","test/contrato/endereco.spec.js","","","","Oops...we found an error preparing this test file: test/contrato/endereco.spec.js",""
"passed","Fri Nov 18 16:31:52 GMT-03:00 2022","Fri Nov 18 16:31:52 GMT-03:00 2022","527","","Endereco","","","","GET - Listar Endereco Por Id Pessoa",""
"passed","Fri Nov 18 16:31:51 GMT-03:00 2022","Fri Nov 18 16:31:51 GMT-03:00 2022","158","","Endereco","","","","GET - Listar Endereco Por idEndereco Inexisnte",""
"passed","Fri Nov 18 16:31:32 GMT-03:00 2022","Fri Nov 18 16:31:32 GMT-03:00 2022","300","","Contato","","","","DELETE - Deletar Contato Existente",""
"passed","Fri Nov 18 16:28:01 GMT-03:00 2022","Fri Nov 18 16:28:01 GMT-03:00 2022","281","","Contrato Pessoa","","","","Contrato - Validar contrato listarPessoa",""
"passed","Fri Nov 18 16:32:36 GMT-03:00 2022","Fri Nov 18 16:32:37 GMT-03:00 2022","1023","","Pessoa","","","","GET, Lista Com Endereco Pessoa",""
"passed","Fri Nov 18 16:31:52 GMT-03:00 2022","Fri Nov 18 16:31:52 GMT-03:00 2022","142","","Endereco","","","","GET - Listar Endereco Por Pais Inexistente",""
"passed","Fri Nov 18 16:31:33 GMT-03:00 2022","Fri Nov 18 16:31:34 GMT-03:00 2022","138","","Contato","","","","PUT - Atualizar Contato Inexistente",""
"passed","Fri Nov 18 16:32:48 GMT-03:00 2022","Fri Nov 18 16:32:48 GMT-03:00 2022","435","","Pessoa","","","","GET, Buscar Pessoa por Nome",""
"passed","Fri Nov 18 16:31:32 GMT-03:00 2022","Fri Nov 18 16:31:32 GMT-03:00 2022","145","","Contato","","","","DELETE - Deletar Contato Inexistente",""
"failed","Fri Nov 18 16:32:14 GMT-03:00 2022","Fri Nov 18 16:32:18 GMT-03:00 2022","4463","","Pessoa","","","","GET, Buscar Pessoa Por CPF Invalido",""
"failed","Fri Nov 18 16:28:02 GMT-03:00 2022","Fri Nov 18 16:28:03 GMT-03:00 2022","515","","Contrato Pessoa","","","","Contrato - Validar contrato lista-com-contatos",""
"failed","Fri Nov 18 16:32:08 GMT-03:00 2022","Fri Nov 18 16:32:13 GMT-03:00 2022","4487","","Pessoa","","","","DELETE, Deletar Pessoa Id Negativo",""
"passed","Fri Nov 18 16:31:51 GMT-03:00 2022","Fri Nov 18 16:31:52 GMT-03:00 2022","548","","Endereco","","","","GET - Listar Endereco Por Pais",""
"failed","Fri Nov 18 16:32:30 GMT-03:00 2022","Fri Nov 18 16:32:36 GMT-03:00 2022","5603","","Pessoa","","","","GET, Lista Completa Pessoa Id Passado Como String",""
"passed","Fri Nov 18 16:32:13 GMT-03:00 2022","Fri Nov 18 16:32:13 GMT-03:00 2022","281","","Pessoa","","","","POST, Adicionar Nova Pessoa",""
"passed","Fri Nov 18 16:33:01 GMT-03:00 2022","Fri Nov 18 16:33:01 GMT-03:00 2022","161","","Contrato Contato","","","","Contrato - Buscar Lista Completa de Contatos",""
"failed","Fri Nov 18 16:32:48 GMT-03:00 2022","Fri Nov 18 16:32:53 GMT-03:00 2022","4718","","Pessoa","","","","GET, Buscar Pessoa por Nome Vazio",""
"failed","Fri Nov 18 16:27:44 GMT-03:00 2022","Fri Nov 18 16:27:44 GMT-03:00 2022","363","","","","","","An uncaught error was detected outside of a test",""
"failed","Fri Nov 18 16:31:59 GMT-03:00 2022","Fri Nov 18 16:32:03 GMT-03:00 2022","4440","","Pessoa","","","","PUT - Atualizar Pessoa Com Id Negativo",""
"failed","Fri Nov 18 16:32:43 GMT-03:00 2022","Fri Nov 18 16:32:48 GMT-03:00 2022","4950","","Pessoa","","","","GET, Lista Com Contatos Pessoa Inexistente",""
"failed","Fri Nov 18 16:28:02 GMT-03:00 2022","Fri Nov 18 16:28:02 GMT-03:00 2022","444","","Contrato Pessoa","","","","Contrato - Validar contrato lista-com-enderecos",""
"failed","Fri Nov 18 16:31:34 GMT-03:00 2022","Fri Nov 18 16:31:38 GMT-03:00 2022","4569","","Contato","","","","GET - Listar Todos Os Contatos Tamanho Pagina Invalido",""
